timestamp,power_kw,battery_percentage,grid_export_kw
2026-02-27T06:00:00,0.5,50.0,0.0
2026-02-27T07:00:00,2.5,55.0,0.5
2026-02-27T08:00:00,5.5,65.0,2.0
2026-02-27T09:00:00,7.2,75.0,4.0
2026-02-27T10:00:00,8.5,80.0,5.0
2026-02-27T11:00:00,9.1,85.0,5.5
2026-02-27T12:00:00,9.5,90.0,6.0
2026-02-27T13:00:00,9.5,90.0,6.0
2026-02-27T14:00:00,9.0,88.0,5.5
2026-02-27T15:00:00,8.5,85.0,5.0
2026-02-27T16:00:00,7.0,80.0,4.0
2026-02-27T17:00:00,5.0,70.0,2.0
2026-02-27T18:00:00,2.5,60.0,0.5
2026-02-27T19:00:00,10.0,50.0,0.0
